"","time","tweet_id","sentiment_score","location","latitude","longitude","place_rank"
"14094","Tue Mar 31 04:31:43 +0000 2020",1244844803826700288,0,"Gorakhpur, India",26.67132865,83.3645828432704,"10"
"14095","Tue Mar 31 04:31:44 +0000 2020",1244844805290516480,0.8,"Navi Mumbai, India",19.0308262,73.0198537,"16"
"14096","Tue Mar 31 04:31:47 +0000 2020",1244844818288738304,0,"Mumbai, India",19.0759899,72.8773928,"16"
"14097","Tue Mar 31 04:31:51 +0000 2020",1244844833639780352,-0.025,"New Delhi, India",28.6138954,77.2090057,"10"
"14098","Tue Mar 31 04:35:48 +0000 2020",1244845827438198784,0.0679924242424242,"Danapur, India",25.6358901,85.0474045,"16"
"14099","Tue Mar 31 04:35:55 +0000 2020",1244845860673818624,0.6,"Barnala, India",30.3704685,75.504017418548,"10"
"14100","Tue Mar 31 04:36:27 +0000 2020",1244845994753179648,-0.23125,"Gurgaon, India",28.42826235,77.0027001465775,"12"
"14102","Tue Mar 31 04:37:00 +0000 2020",1244846129881051136,0.120833333333333,"Gurgaon, India",28.42826235,77.0027001465775,"12"
"14103","Tue Mar 31 04:37:14 +0000 2020",1244846189314375680,-0.125,"Bengaluru, India",12.9791198,77.5912997,"16"
"14105","Tue Mar 31 04:37:42 +0000 2020",1244846308583604224,0,"Lucknow, India",26.8381,80.9346001,"16"
"14106","Tue Mar 31 04:38:38 +0000 2020",1244846541614927872,0.3,"Chennai, India",13.0836939,80.270186,"16"
"14107","Tue Mar 31 04:39:38 +0000 2020",1244846792711311360,0,"Nagpur, India",21.1498134,79.0820556,"12"
"14108","Tue Mar 31 04:39:54 +0000 2020",1244846860625379328,-0.0125,"Varanasi, India",25.3356491,83.0076292,"16"
"14109","Tue Mar 31 04:39:58 +0000 2020",1244846879382237184,0.43,"Haveli, India",18.51051985,74.0609353177903,"12"
"14110","Tue Mar 31 04:40:03 +0000 2020",1244846900991279104,0,"Bengaluru, India",12.9791198,77.5912997,"16"
"14111","Tue Mar 31 04:40:58 +0000 2020",1244847130818289664,-0.222222222222222,"Haryana, India",29,76,"8"
"14112","Tue Mar 31 04:41:16 +0000 2020",1244847203740344320,0,"Mumbai, India",19.0759899,72.8773928,"16"
"14113","Tue Mar 31 04:43:09 +0000 2020",1244847679655436288,0.225,"Bengaluru, India",12.9791198,77.5912997,"16"
"14114","Tue Mar 31 04:43:31 +0000 2020",1244847771070238720,0,"Chittoor, India",13.1601048,79.155550618036,"12"
"14115","Tue Mar 31 04:43:47 +0000 2020",1244847837675831296,0,"Mumbai, India",19.0759899,72.8773928,"16"
"14116","Tue Mar 31 04:43:50 +0000 2020",1244847850984361984,-0.3625,"Bengaluru, India",12.9791198,77.5912997,"16"
"14117","Tue Mar 31 04:44:37 +0000 2020",1244848048276033536,0.2,"Kolhapur, India",16.7028412,74.2405329,"16"
"14118","Tue Mar 31 04:44:56 +0000 2020",1244848126982156288,0.5,"Ahmadabad City, India",23.0216238,72.5797068,"16"
"14119","Tue Mar 31 04:45:04 +0000 2020",1244848160750485504,0.05,"Allahabad Outer, India",28.5480885,77.2510976,"30"
"14120","Tue Mar 31 04:45:53 +0000 2020",1244848366648885248,0,"Mumbai, India",19.0759899,72.8773928,"16"
"14121","Tue Mar 31 04:45:54 +0000 2020",1244848370771881984,-0.166666666666667,"Ghaziabad, India",28.711241,77.4445372,"10"
"14122","Tue Mar 31 04:46:08 +0000 2020",1244848428019929088,-0.0430555555555555,"Sholinganallur, India",12.9174426,80.2164901823086,"12"
"14123","Tue Mar 31 04:46:21 +0000 2020",1244848483607035904,0.397321428571429,"Rajpura, India",30.4776857,76.5937658,"18"
"14124","Tue Mar 31 04:46:51 +0000 2020",1244848611726225408,-0.125,"Bengaluru, India",12.9791198,77.5912997,"16"
"14125","Tue Mar 31 04:47:18 +0000 2020",1244848725492502528,0.0681818181818182,"Mumbai, India",19.0759899,72.8773928,"16"
"14126","Tue Mar 31 04:48:11 +0000 2020",1244848943692800000,-0.1,"Sholinganallur, India",12.9174426,80.2164901823086,"12"
"14127","Tue Mar 31 04:48:22 +0000 2020",1244848991692414976,0.2,"Gaya, India",24.7964355,85.0079563,"16"
"14128","Tue Mar 31 04:48:43 +0000 2020",1244849079324045312,0,"Bengaluru, India",12.9791198,77.5912997,"16"
"14129","Tue Mar 31 04:48:50 +0000 2020",1244849108138905600,0.05,"Mumbai, India",19.0759899,72.8773928,"16"
"14130","Tue Mar 31 04:48:57 +0000 2020",1244849138631446528,0.0333333333333333,"Mumbai, India",19.0759899,72.8773928,"16"
"14131","Tue Mar 31 04:49:13 +0000 2020",1244849206424031232,0.78125,"Bengaluru South, India",12.9791198,77.5912997,"16"
"14132","Tue Mar 31 04:49:18 +0000 2020",1244849225046818816,-0.5,"India",22.3511148,78.6677428,"4"
"14133","Tue Mar 31 04:50:05 +0000 2020",1244849425928749056,-0.115277777777778,"Jaipur, India",26.9154576,75.8189817,"16"
"14134","Tue Mar 31 04:50:07 +0000 2020",1244849431343779840,0,"Noida, India",28.5707841,77.3271074,"16"
"14135","Tue Mar 31 04:50:35 +0000 2020",1244849551577661440,0.5,"Kota, India",25.1968256,76.0008933088555,"10"
"14136","Tue Mar 31 04:50:46 +0000 2020",1244849593956937728,0.1,"Bengaluru, India",12.9791198,77.5912997,"16"
"14137","Tue Mar 31 04:50:51 +0000 2020",1244849618220978176,-0.155555555555556,"Mumbai, India",19.0759899,72.8773928,"16"
"14138","Tue Mar 31 04:50:57 +0000 2020",1244849641264308224,0,"Daskroi, India",22.95840725,72.7185242951541,"12"
"14139","Tue Mar 31 04:52:28 +0000 2020",1244850023331962880,0,"Gurgaon, India",28.42826235,77.0027001465775,"12"
"14140","Tue Mar 31 04:52:41 +0000 2020",1244850080261140480,0,"New Delhi, India",28.6138954,77.2090057,"10"
"14141","Tue Mar 31 04:53:19 +0000 2020",1244850239497854976,0.35,"Hyderabad, India",17.38878595,78.4610647345315,"10"
"14142","Tue Mar 31 04:53:53 +0000 2020",1244850378333491200,0.35,"Hyderabad, India",17.38878595,78.4610647345315,"10"
"14143","Tue Mar 31 04:53:56 +0000 2020",1244850391445012480,0,"Mumbai, India",19.0759899,72.8773928,"16"
"14144","Tue Mar 31 04:54:13 +0000 2020",1244850463175929856,0.0666666666666667,"New Delhi, India",28.6138954,77.2090057,"10"
"14145","Tue Mar 31 04:54:16 +0000 2020",1244850476832772096,0,"Bengaluru South, India",12.9791198,77.5912997,"16"
"14146","Tue Mar 31 04:54:29 +0000 2020",1244850532096684032,0,"Ahore, India",25.3682474,72.7809896,"18"
"14147","Tue Mar 31 04:54:33 +0000 2020",1244850548836188160,0.35,"Hyderabad, India",17.38878595,78.4610647345315,"10"
"14148","Tue Mar 31 04:54:42 +0000 2020",1244850586664624128,0,"New Delhi, India",28.6138954,77.2090057,"10"
"14149","Tue Mar 31 04:54:50 +0000 2020",1244850621032722432,-0.65,"Gurgaon, India",28.42826235,77.0027001465775,"12"
"14150","Tue Mar 31 04:55:00 +0000 2020",1244850663005143040,-0.3,"New Delhi, India",28.6138954,77.2090057,"10"
"14151","Tue Mar 31 04:55:59 +0000 2020",1244850907214274560,-0.45,"Bengaluru, India",12.9791198,77.5912997,"16"
"14152","Tue Mar 31 04:56:06 +0000 2020",1244850937895608320,0,"Mumbai, India",19.0759899,72.8773928,"16"
"14153","Tue Mar 31 04:56:39 +0000 2020",1244851076320370688,0.15,"Gurgaon, India",28.42826235,77.0027001465775,"12"
"14154","Tue Mar 31 04:56:49 +0000 2020",1244851120159084544,-0.226388888888889,"Kotagiri, India",11.4689004,76.919414940669,"12"
"14155","Tue Mar 31 04:56:53 +0000 2020",1244851136902787072,-1,"Bengaluru South, India",12.9791198,77.5912997,"16"
"14156","Tue Mar 31 04:56:55 +0000 2020",1244851141545844736,0.143181818181818,"Mumbai, India",19.0759899,72.8773928,"16"
"14157","Tue Mar 31 04:57:14 +0000 2020",1244851222164779008,0.5,"New Delhi, India",28.6138954,77.2090057,"10"
